Date,Deaths,Recoveries,Total
2020-02-26,,,2
2020-02-29,,,4
2020-03-03,,,5
2020-03-04,,,5
2020-03-05,,,6
2020-03-09,,1,7
2020-03-10,,1,16
2020-03-11,,1,19
2020-03-12,,1,20
2020-03-13,,1,21
2020-03-14,,1,28
2020-03-15,,2,31
2020-03-16,,3,53
2020-03-17,,3,187
2020-03-18,,4,241
2020-03-19,2,5,302
2020-03-20,2,5,461
2020-03-21,3,5,495
2020-03-22,3,5,646
2020-03-23,5,6,784
2020-03-24,6,6,887
2020-03-25,7,7,991
2020-03-26,8,21,1057
2020-03-27,9,23,1197
2020-03-28,11,26,1408
2020-03-29,13,28,1526
2020-03-30,18,32,1625
2020-03-31,25,58,1865
2020-04-01,26,82,2039
2020-04-02,31,107,2291
2020-04-03,35,126,2450
2020-04-04,36,130,2640
2020-04-05,41,150,2818
2020-04-06,45,170,3062
2020-04-07,51,259,3556
2020-04-08,55,429,4005
2020-04-09,61,467,4207
2020-04-10,63,572,4489
2020-04-11,66,727,4695
2020-04-12,86,767,5011
2020-04-13,91,1028,5230
2020-04-14,93,1097,5496
2020-04-15,96,1378,5837
2020-04-16,111,1446,6383
2020-04-17,128,1645,6919
2020-04-18,135,1765,7025
2020-04-19,144,1832,7638
2020-04-20,168,1868,8348
2020-04-21,176,1970,8418
2020-04-22,201,2073,9565
2020-04-23,212,2156,10076
2020-04-24,235,2337,11057
2020-04-25,253,2775,11940
2020-04-26,269,2866,12723
2020-04-27,281,3029,13328
2020-04-28,292,3029,13915
2020-04-29,312,3233,14612
2020-04-30,343,3425,15525
2020-05-01,385,4315,16817
2020-05-02,417,4715,18114
2020-05-03,440,4817,19103
2020-05-04,462,5590,20186
2020-05-05,486,5782,21501
2020-05-06,514,5801,22049
2020-05-07,544,6281,23214
2020-05-08,585,6464,24644
2020-05-09,599,7530,26435
2020-05-10,636,7809,28736
2020-05-11,659,8063,30334
2020-05-12,667,8212,30941
2020-05-13,724,8555,32674
2020-05-14,737,8812,34336
2020-05-15,770,9695,35788
2020-05-16,803,10155,37218
2020-05-17,834,10880,38799
2020-05-18,873,11341,40151
2020-05-19,903,11922,42125
2020-05-20,939,12489,43966
2020-05-21,985,13101,45898
2020-05-22,1017,14155,48091
2020-05-23,1067,15201,50694
2020-05-24,1101,16653,52437
2020-05-25,1133,17198,54601
2020-05-26,1167,17482,56349
2020-05-27,1197,18314,57705
2020-05-28,1225,19142,59151
2020-05-29,1260,20231,61227
2020-05-30,1317,22305,64028
2020-05-31,1395,24131,66457
2020-06-01,1483,25271,69496
2020-06-02,1543,26083,72460
2020-06-03,1621,27110,76398
2020-06-04,1688,28923,80463
2020-06-05,1770,30128,85264
2020-06-06,1838,31198,89249
2020-06-07,1935,32581,93983
2020-06-08,2002,33465,98943
2020-06-09,2067,34355,103671
2020-06-10,2172,35018,108317
2020-06-11,2255,36308,113702
2020-06-12,2356,38391,119536
2020-06-13,2463,40247,125933
2020-06-14,2551,50056,132405
2020-06-15,2632,51735,139230
2020-06-16,2729,53721,144478
2020-06-17,2839,56390,148921
2020-06-18,2975,58437,154760
2020-06-19,3093,59215,160118
2020-06-20,3229,61383,165062
2020-06-21,3382,63504,171666
2020-06-22,3501,67892,176617
2020-06-23,3590,71458,181088
2020-06-24,3695,73471,185034
2020-06-25,3755,77754,188926
2020-06-26,3903,81307,192970
2020-06-27,3962,84168,195745
2020-06-28,4035,86906,198883
2020-06-29,4118,92624,202955
2020-06-30,4167,95407,206510
2020-07-01,4304,98503,209337
2020-07-02,4395,100802,213470
2020-07-03,4473,104694,217809
2020-07-04,4551,113623,221896
2020-07-05,4619,125094,225283
2020-07-06,4712,129830,228474
2020-07-07,4762,131649,231818
2020-07-08,4839,134957,234509
2020-07-09,4922,140965,237489
2020-07-10,4983,145311,240848
2020-07-11,5058,149092,243599
2020-07-12,5123,153134,246351
2020-07-13,5197,156700,248872
2020-07-14,5266,161917,251625
2020-07-15,5320,170656,253604
2020-07-16,5386,172810,255769
2020-07-17,5426,178737,257914
2020-07-18,5475,183737,259999
2020-07-19,5522,198509,261917
2020-07-20,5568,204276,263493
2020-07-21,5599,205929,265083
2020-07-22,5639,208030,266096
2020-07-23,5677,210468,267428
2020-07-24,5709,213175,269191
2020-07-25,5763,219783,270400
2020-07-26,5787,236596,271887
2020-07-27,5822,237434,273113
2020-07-28,5842,241026,274289
2020-07-29,5865,242836,275275
2020-07-30,5890,244450,276300
2020-07-31,5919,245864,277300
2020-08-01,5951,247177,278305
2020-08-02,5970,248027,279146
2020-08-03,5984,248873,280029
2020-08-04,5999,249397,280461
2020-08-05,6014,254286,281136
2020-08-06,6035,256058,281863
2020-08-07,6052,258099,282645
2020-08-08,6068,259604,283487
2020-08-09,6082,260248,284121
2020-08-10,6097,260764,284660
2020-08-11,6112,261246,285191
2020-08-12,6129,263193,285921
2020-08-13,6139,264060,286674
2020-08-14,6153,265215,287174
2020-08-15,6162,265624,288041
2020-08-16,6168,266301,288716
2020-08-17,6175,269087,289215
2020-08-18,6190,270009,289829
2020-08-19,6201,272128,290442
2020-08-20,6209,272804,290958
2020-08-21,6219,273579,291539
2020-08-22,6231,275317,292174
2020-08-23,6235,275836,292765
2020-08-24,6244,276829,293261
2020-08-25,6255,278425,293711
2020-08-26,6267,278939,294193
2020-08-27,6274,279561,294638
2020-08-28,6283,279937,295053
2020-08-29,6284,280340,295372
2020-08-30,6288,280547,295636
2020-08-31,6294,280682,295849
2020-09-01,6298,280970,296149
2020-09-02,6318,281459,296590
2020-09-03,6328,281925,297014
2020-09-04,6335,282268,297512
2020-09-05,6340,282553,298025
2020-09-06,6342,285898,298509
2020-09-07,6345,286016,298903
2020-09-08,6350,286157,299233
2020-09-09,6359,286506,299659
2020-09-10,6365,287950,299855
2020-09-11,6370,288206,300371
2020-09-12,6373,288536,300955
2020-09-13,6379,289429,301481
2020-09-14,6383,289806,302020
2020-09-15,6389,290261,302424
2020-09-16,6393,290760,303089
2020-09-17,6399,291169,303634
2020-09-18,6408,291683,304386
2020-09-19,6415,292044,305031
2020-09-20,6416,292303,305671
2020-09-21,6420,292869,306304
2020-09-22,6424,293159,306886
2020-09-23,6432,293916,307418
2020-09-24,6437,294392,308217
2020-09-25,6444,294740,309015
2020-09-26,6451,295333,309581
2020-09-27,6457,295613,310275
2020-09-28,6466,296022,310841
2020-09-29,6474,296340,311516
2020-09-30,6479,296881,312263
2020-10-01,6484,297497,312806
2020-10-02,6499,298055,313431
2020-10-03,6507,298593,313984
2020-10-04,6513,298968,314616
2020-10-05,6517,299836,315260
2020-10-06,6523,300616,315727
2020-10-07,6535,301288,316351
2020-10-08,6544,302375,316934
2020-10-09,6552,302708,317595
2020-10-10,6558,303062,318266
2020-10-11,6570,303458,318932
2020-10-12,6580,304185,319317
2020-10-13,6588,304609,319848
2020-10-14,6601,305080,320463
2020-10-15,6614,305395,321218
2020-10-16,6621,305835,321877
2020-10-17,6638,306640,322452
2020-10-18,6654,307069,323019
2020-10-19,6659,307409,323452
2020-10-20,6673,308020,324077
2020-10-21,6692,308674,324744
2020-10-22,6702,309136,325480
2020-10-23,6715,309646,326216
2020-10-24,6727,310101,327063
2020-10-25,6736,310491,327895
2020-10-26,6739,311075,328602
2020-10-27,6745,311440,329375
2020-10-28,6759,311814,330200
2020-10-29,6775,312638,331108
2020-10-30,6795,313527,332186
2020-10-31,6806,314066,332993
2020-11-01,6823,314555,333970
2020-11-02,6835,315016,335093
2020-11-03,6849,315446,336260
2020-11-04,6867,316060,337573
2020-11-05,6893,316665,338875
2020-11-06,6923,317086,340251
2020-11-07,6943,317898,341753
2020-11-08,6968,318417,343189
2020-11-09,6977,318881,344839
2020-11-10,7000,319431,346476
2020-11-11,7021,320065,348184
2020-11-12,7055,320849,349992
2020-11-13,7092,321563,352296
2020-11-14,7109,322414,354461
2020-11-15,7141,323225,356904
2020-11-16,7160,323824,359032
2020-11-17,7193,324834,361082
2020-11-18,7230,325788,363380
2020-11-19,7248,326674,365927
2020-11-20,7561,327542,368665
2020-11-21,7603,328931,371508
2020-11-22,7662,329828,374173
2020-11-23,7696,330885,376929
2020-11-24,7744,331760,379883
2020-11-25,7803,332974,382892
2020-11-26,7843,334392,386198
2020-11-27,7897,335881,389311
2020-11-28,7942,337553,392356
2020-11-29,7985,339810,395185
2020-11-30,8025,341423,398024
2020-12-01,8091,343286,400482
2020-12-02,8166,345365,403311
2020-12-03,8205,346951,406810
2020-12-04,8260,350305,410072
2020-12-05,8303,352529,413191
2020-12-06,8361,355012,416499
2020-12-07,8398,356542,420294
2020-12-08,8487,370474,423179
2020-12-09,8547,372271,426412
2020-12-10,8603,374301,429280
2020-12-11,8653,379092,432327
2020-12-12,8724,381208,435056
2020-12-13,8796,383000,438425
2020-12-14,8832,384719,440787
2020-12-15,8905,386333,443246
2020-12-16,9010,388598,445977
2020-12-17,9080,396591,448522
2020-12-18,9164,399852,451494
2020-12-19,9250,404501,454673
2020-12-20,9330,407405,457288
2020-12-21,9392,409085,458968
2020-12-22,9474,410937,460672
2020-12-23,9557,415352,462814
2020-12-24,9668,417134,465070
2020-12-25,9753,418958,467222
2020-12-26,9816,420489,469482
2020-12-27,9874,422132,471335
2020-12-28,9929,423892,473309
2020-12-29,9992,425494,475085
2020-12-30,10047,430113,477240
